accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,fpr_macro,fpr_attack_positive,auc,auc_attack_positive,loss,seed,model,variant,dataset,seq_len,leakage_protocol,split_policy,record_order,training_seconds,hidden_channels,focal_gamma,dropout,learning_rate,_path,relative_path,family
0.9032668736606101,0.8245246516825961,0.7328444064880055,0.7674643499941882,0.8945908579709418,0.9032668736606101,0.8953491445389945,0.2671555935119944,0.030341998689366042,0.7709246381309331,0.7709246381309331,0.3556550255665886,42,ms_atcn,full,cic_ids2017,16,clean,default,original,2069.0366903468966,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/ms_atcn/seed_42/metrics.json,main/cic_ids2017/ms_atcn/seed_42/metrics.json,main
0.8916110871425641,0.7823517756402745,0.7337030002197584,0.754412482982461,0.8837793429044862,0.8916110871425641,0.8865110809917585,0.2662969997802415,0.04687298640834199,0.7817214890733287,0.7817214890733287,0.31433448436741207,43,ms_atcn,full,cic_ids2017,16,clean,default,original,2028.9219365864992,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/ms_atcn/seed_43/metrics.json,main/cic_ids2017/ms_atcn/seed_43/metrics.json,main
0.9159599874577702,0.8757876926476474,0.7444486384909846,0.7903293224598598,0.9106825132257208,0.9159599874577702,0.9071277232385704,0.25555136150901536,0.017224691466347142,0.9156589833543464,0.9156589833543464,0.3200611845409805,44,ms_atcn,full,cic_ids2017,16,clean,default,original,3034.3156672120094,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/ms_atcn/seed_44/metrics.json,main/cic_ids2017/ms_atcn/seed_44/metrics.json,main
0.8915780812745924,0.782591126415991,0.7324169054020482,0.7536567094536668,0.8835533857427638,0.8915780812745924,0.8863064396516911,0.26758309459795193,0.046417829008881056,0.8797173037466223,0.8797173037466223,0.21464343046724813,45,ms_atcn,full,cic_ids2017,16,clean,default,original,1746.6531883329153,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/ms_atcn/seed_45/metrics.json,main/cic_ids2017/ms_atcn/seed_45/metrics.json,main
0.9133124453340312,0.8547983024688737,0.752199665389317,0.7908495824762786,0.9067377269485262,0.9133124453340312,0.9060228769178394,0.24780033461068304,0.02392318259214881,0.892194071323374,0.892194071323374,0.2706242478654464,46,ms_atcn,full,cic_ids2017,16,clean,default,original,1886.5503383427858,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/ms_atcn/seed_46/metrics.json,main/cic_ids2017/ms_atcn/seed_46/metrics.json,main
0.9040613720539316,0.8198783299927238,0.7462428899708093,0.7758245153664421,0.8962730185129165,0.9040613720539316,0.8978416180864637,0.2537571100291907,0.034457608668829125,0.8467843275507162,0.8467843275507162,0.22858665197353542,47,ms_atcn,full,cic_ids2017,16,clean,default,original,2051.140845529735,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/ms_atcn/seed_47/metrics.json,main/cic_ids2017/ms_atcn/seed_47/metrics.json,main
0.9215615547649865,0.9105251681364597,0.7439897857957521,0.7979574897047029,0.9199280336379638,0.9215615547649865,0.911683020541849,0.25601021420424785,0.009262178887825637,0.8749159465128693,0.8749159465128693,0.5511222659698413,42,mlp,full,cic_ids2017,16,clean,default,original,1155.3891041874886,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/mlp/seed_42/metrics.json,main/cic_ids2017/mlp/seed_42/metrics.json,main
0.919526978760724,0.8984775172869766,0.743165606154487,0.7945970084124842,0.9165085293069312,0.919526978760724,0.9098777916591204,0.256834393845513,0.011768286496905752,0.8487352292136799,0.8487352292136799,0.5518268287423534,43,mlp,full,cic_ids2017,16,clean,default,original,867.507562533021,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/mlp/seed_43/metrics.json,main/cic_ids2017/mlp/seed_43/metrics.json,main
0.9164786510973272,0.8836131157297256,0.7403372088229333,0.7887819740888188,0.9119235796200527,0.9164786510973272,0.9069705515445633,0.2596627911770667,0.01490229196427837,0.8437157697502693,0.8437157697502693,0.6633410402382175,44,mlp,full,cic_ids2017,16,clean,default,original,992.6738304570317,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/mlp/seed_44/metrics.json,main/cic_ids2017/mlp/seed_44/metrics.json,main
0.9199065462423998,0.9062016524718308,0.7396067407978076,0.7931637783919021,0.917860481047527,0.9199065462423998,0.9096823385152992,0.2603932592021923,0.009854431889533848,0.8416844458305338,0.8416844458305338,0.5795321941830058,45,mlp,full,cic_ids2017,16,clean,default,original,1596.237339667976,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/mlp/seed_45/metrics.json,main/cic_ids2017/mlp/seed_45/metrics.json,main
0.9194774699587662,0.902829738399876,0.7399484474706357,0.7927467693786681,0.9170197376070792,0.9194774699587662,0.9093771760969968,0.2600515525293643,0.01058378049348933,0.8388870581186201,0.8388870581186201,0.6191379237136774,46,mlp,full,cic_ids2017,16,clean,default,original,871.6170615404844,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/mlp/seed_46/metrics.json,main/cic_ids2017/mlp/seed_46/metrics.json,main
0.9051764988789792,0.858056523893246,0.7059211674816782,0.7530264328883559,0.8979438771850284,0.9051764988789792,0.8925287841427001,0.2940788325183218,0.017200014257942632,0.7151492787418166,0.7151492787418166,0.6197666755452867,42,cnn,full,cic_ids2017,16,clean,default,original,912.0135129392147,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/cnn/seed_42/metrics.json,main/cic_ids2017/cnn/seed_42/metrics.json,main
0.9170656840348259,0.899974063847852,0.7312049694872471,0.7843603487631741,0.9144564444192211,0.9170656840348259,0.9060990656248535,0.26879503051275283,0.010528942252590422,0.8728331805915361,0.8728331805915361,0.45033334182017953,42,lstm,full,cic_ids2017,16,clean,default,original,955.4638925939798,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/lstm/seed_42/metrics.json,main/cic_ids2017/lstm/seed_42/metrics.json,main
0.9110774765599399,0.8857263779595601,0.7137305186924395,0.7655452394394036,0.907037430806876,0.9110774765599399,0.8984771810683839,0.28626948130756047,0.012042477701400295,0.8513055032044894,0.8513055032044894,0.5684702668848155,42,gru,full,cic_ids2017,16,clean,default,original,922.0001207888126,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/gru/seed_42/metrics.json,main/cic_ids2017/gru/seed_42/metrics.json,main
0.9174853300704675,0.8956547714087704,0.7359816914542856,0.7877139717536298,0.9142673337631227,0.9174853300704675,0.9071596247002767,0.26401830854571445,0.011806673265534988,0.891598378042437,0.891598378042437,0.4104193586836051,42,tcn,full,cic_ids2017,16,clean,default,original,2719.865629300475,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/tcn/seed_42/metrics.json,main/cic_ids2017/tcn/seed_42/metrics.json,main
0.8629549210570365,0.9286602074983018,0.5112168152288625,0.48505089375088634,0.8810744107010817,0.8629549210570365,0.8025139056348208,0.48878318477113747,1.9193384314617955e-05,0.9713915626807991,0.9713915626807991,,42,xgboost,full,cic_ids2017,16,clean,default,original,712.8984034880996,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/xgboost/seed_42/metrics.json,main/cic_ids2017/xgboost/seed_42/metrics.json,main
0.8631034474629097,0.9260614125667892,0.51180290769034,0.4862249483372997,0.880448211816954,0.8631034474629097,0.8028953000598769,0.48819709230965996,4.1128680674181336e-05,0.9726439010786233,0.9726439010786233,,43,xgboost,full,cic_ids2017,16,clean,default,original,728.2323901876807,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/xgboost/seed_43/metrics.json,main/cic_ids2017/xgboost/seed_43/metrics.json,main
0.863233113372799,0.9266456704958789,0.5122583807015948,0.48712353689749016,0.8806915552390236,0.863233113372799,0.8031939164827847,0.4877416192984052,3.838676862923591e-05,0.972861825050334,0.972861825050334,,44,xgboost,full,cic_ids2017,16,clean,default,original,725.5193571597338,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/xgboost/seed_44/metrics.json,main/cic_ids2017/xgboost/seed_44/metrics.json,main
