leakage_protocol,model,n_runs,accuracy_mean,accuracy_std,accuracy_ci95_halfwidth,accuracy_mean_std,f1_macro_mean,f1_macro_std,f1_macro_ci95_halfwidth,f1_macro_mean_std,auc_mean,auc_std,auc_ci95_halfwidth,auc_mean_std,fpr_macro_mean,fpr_macro_std,fpr_macro_ci95_halfwidth,fpr_macro_mean_std,fpr_attack_positive_mean,fpr_attack_positive_std,fpr_attack_positive_ci95_halfwidth,fpr_attack_positive_mean_std
attack_cat,lightgbm,3,0.9862887779357038,0.0002496537797668033,0.0006201743691997276,0.9863 ± 0.0002,0.9861136340935183,0.00025386431600279866,0.000630633921050255,0.9861 ± 0.0003,0.9993921128734978,1.0405637554812036e-05,2.584903666471407e-05,0.9994 ± 0.0000,0.014970513928108877,0.00028643056929705487,0.0007115329789889303,0.0150 ± 0.0003,0.027389482222522646,0.0006754087330970275,0.0016778083047318392,0.0274 ± 0.0007
attack_cat,ms_atcn,3,0.9183684212657571,0.02170965509875998,0.0539297729399225,0.9184 ± 0.0217,0.9182103378234991,0.02157854877337636,0.05360408677278804,0.9182 ± 0.0216,0.989995357599902,0.0010471705495659173,0.0026013158528110135,0.9900 ± 0.0010,0.07630088926225208,0.018914754111616746,0.04698685399715177,0.0763 ± 0.0189,0.02373034112928665,0.009504702219505215,0.023610989222429966,0.0237 ± 0.0095
both,lightgbm,3,0.5975800867378548,0.0007786202295497472,0.0019341998753562258,0.5976 ± 0.0008,0.5868614465096272,0.0007118332809455766,0.0017682918976758746,0.5869 ± 0.0007,0.7318035439678039,0.00048574971544765923,0.0012066691866155221,0.7318 ± 0.0005,0.37970916650909614,0.0008533824157326698,0.0021199194414661233,0.3797 ± 0.0009,0.15573881303231038,0.001612334894240978,0.0040052619147549935,0.1557 ± 0.0016
both,ms_atcn,3,0.6578511526578147,0.026665298361354783,0.0662402732545157,0.6579 ± 0.0267,0.6475247476529685,0.029588233242349708,0.07350124602138565,0.6475 ± 0.0296,0.7307935680602746,0.022729769790009936,0.05646387831476707,0.7308 ± 0.0227,0.31793987934809637,0.025297458126809974,0.06284236974423352,0.3179 ± 0.0253,0.07919426794646478,0.01490352461057771,0.037022407523135244,0.0792 ± 0.0149
clean,lightgbm,5,0.986459662038218,0.0002983850969819651,0.0003704940325230447,0.9865 ± 0.0003,0.986287192872307,0.0003031977281941881,0.0003764697034358937,0.9863 ± 0.0003,0.9993903223493404,1.1544841271253162e-05,1.4334813771492028e-05,0.9994 ± 0.0000,0.014781508396955892,0.0003349596751752297,0.00041590736951510984,0.0148 ± 0.0003,0.0270217655806408,0.000710641460094611,0.0008823779166304355,0.0270 ± 0.0007
clean,ms_atcn,5,0.9152422950301882,0.01649419384544774,0.02048024667728656,0.9152 ± 0.0165,0.9151218480253671,0.016384861052882723,0.0203444920849355,0.9151 ± 0.0164,0.9911403251913949,0.0029746855589482014,0.0036935599645226227,0.9911 ± 0.0030,0.07876067486704463,0.014187385768354755,0.017615966137194548,0.0788 ± 0.0142,0.019618764363931323,0.010524180542780006,0.013067496090566483,0.0196 ± 0.0105
id,lightgbm,3,0.5975800867378548,0.0007786202295497472,0.0019341998753562258,0.5976 ± 0.0008,0.5868614465096272,0.0007118332809455766,0.0017682918976758746,0.5869 ± 0.0007,0.7318035439678039,0.00048574971544765923,0.0012066691866155221,0.7318 ± 0.0005,0.37970916650909614,0.0008533824157326698,0.0021199194414661233,0.3797 ± 0.0009,0.15573881303231038,0.001612334894240978,0.0040052619147549935,0.1557 ± 0.0016
id,ms_atcn,3,0.6578511526578147,0.026665298361354783,0.0662402732545157,0.6579 ± 0.0267,0.6475247476529685,0.029588233242349708,0.07350124602138565,0.6475 ± 0.0296,0.7307935680602746,0.022729769790009936,0.05646387831476707,0.7308 ± 0.0227,0.31793987934809637,0.025297458126809974,0.06284236974423352,0.3179 ± 0.0253,0.07919426794646478,0.01490352461057771,0.037022407523135244,0.0792 ± 0.0149
