dataset,seq_len,n_runs,accuracy_mean,accuracy_std,accuracy_ci95_halfwidth,accuracy_mean_std,f1_macro_mean,f1_macro_std,f1_macro_ci95_halfwidth,f1_macro_mean_std,auc_mean,auc_std,auc_ci95_halfwidth,auc_mean_std,fpr_macro_mean,fpr_macro_std,fpr_macro_ci95_halfwidth,fpr_macro_mean_std,fpr_attack_positive_mean,fpr_attack_positive_std,fpr_attack_positive_ci95_halfwidth,fpr_attack_positive_mean_std
cic_ids2017,16,6,0.9032983078205832,0.010345425790847823,0.010856858534814806,0.9033 ± 0.0103,0.772089493788816,0.016566344607129968,0.01738531245352083,0.7721 ± 0.0166,0.8478334688632202,0.05978562570940614,0.06274116637293245,0.8478 ± 0.0598,0.25969074900651284,0.008430659838747008,0.008847434902620844,0.2597 ± 0.0084,0.033206382805652364,0.011938851633293602,0.01252905640340869,0.0332 ± 0.0119
nsl_kdd,16,5,0.7602467930223268,0.005050459795790274,0.006270974102808318,0.7602 ± 0.0051,0.7598457496498081,0.00515342360932957,0.006398820563197826,0.7598 ± 0.0052,0.8943777075633882,0.005852535293544888,0.007266882372211585,0.8944 ± 0.0059,0.21917315083805705,0.004471511337897562,0.005552114645827349,0.2192 ± 0.0045,0.07052035033487891,0.0007086552854837439,0.0008799117551219753,0.0705 ± 0.0007
unsw_nb15,16,5,0.9152422950301882,0.01649419384544774,0.02048024667728656,0.9152 ± 0.0165,0.9151218480253671,0.016384861052882723,0.0203444920849355,0.9151 ± 0.0164,0.9911403251913949,0.0029746855589482014,0.0036935599645226227,0.9911 ± 0.0030,0.07876067486704463,0.014187385768354755,0.017615966137194548,0.0788 ± 0.0142,0.019618764363931323,0.010524180542780006,0.013067496090566483,0.0196 ± 0.0105
