model,variant,trainable_parameters,training_seconds,test_evaluation_seconds,checkpoint_bytes,peak_gpu_memory_bytes,relative_path,family,inference_batch_1_batch_size,inference_batch_1_mean_batch_latency_ms,inference_batch_1_mean_latency_ms_per_sample,inference_batch_1_throughput_samples_per_second,inference_batch_1_warmup_iterations,inference_batch_1_measurement_iterations,inference_batch_default_batch_size,inference_batch_default_mean_batch_latency_ms,inference_batch_default_mean_latency_ms_per_sample,inference_batch_default_throughput_samples_per_second,inference_batch_default_warmup_iterations,inference_batch_default_measurement_iterations,inference_conv_linear_macs_per_sample,inference_approx_conv_linear_flops_per_sample,inference_macs_scope_note,prediction_seconds,test_samples,mean_latency_ms_per_sample,throughput_samples_per_second,serialized_model_bytes,number_of_trees,total_leaves,input_dimension,training_rows
cnn,full,27778.0,912.0135129392147,7.742754824459553,118581.0,21361664.0,main/cic_ids2017/cnn/seed_42/efficiency.json,main,1.0,0.22796489298343658,0.22796489298343658,4386.640359016411,20.0,100.0,128.0,0.22205404937267303,0.001734797260724008,576436.2341583682,20.0,100.0,436352.0,872704.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
lstm,full,36994.0,955.4638925939798,7.365571700036526,151737.0,44771328.0,main/cic_ids2017/lstm/seed_42/efficiency.json,main,1.0,0.1625242829322815,0.1625242829322815,6152.92670090824,20.0,100.0,128.0,0.18576189875602722,0.0014512648340314627,689054.1109730497,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
gru,full,27778.0,922.0001207888126,7.438452512025833,114873.0,44427776.0,main/cic_ids2017/gru/seed_42/efficiency.json,main,1.0,0.15776582062244415,0.15776582062244415,6338.508531535109,20.0,100.0,128.0,0.159183070063591,0.0012436177348718047,804105.6121663323,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
tcn,full,82754.0,2719.865629300475,10.285897858440876,349173.0,34585600.0,main/cic_ids2017/tcn/seed_42/efficiency.json,main,1.0,0.6696601212024689,0.6696601212024689,1493.2948347056406,20.0,100.0,128.0,0.6713259220123291,0.005244733765721321,190667.44751389066,20.0,100.0,1824128.0,3648256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
xgboost,full,,712.8984034880996,,,,main/cic_ids2017/xgboost/seed_42/efficiency.json,main,,,,,,,,,,,,,,,,0.42877648025751114,424167.0,0.001010867135485578,989249.6895941148,360816.0,300.0,,1248.0,1979498.0
xgboost,full,,728.2323901876807,,,,main/cic_ids2017/xgboost/seed_43/efficiency.json,main,,,,,,,,,,,,,,,,0.43272536993026733,424167.0,0.00102017688771231,980222.167395347,363404.0,300.0,,1248.0,1979498.0
xgboost,full,,725.5193571597338,,,,main/cic_ids2017/xgboost/seed_44/efficiency.json,main,,,,,,,,,,,,,,,,0.4295622929930687,424167.0,0.0010127197377284623,987440.0218988594,363718.0,300.0,,1248.0,1979498.0
xgboost,full,,733.7573567926884,,,,main/cic_ids2017/xgboost/seed_45/efficiency.json,main,,,,,,,,,,,,,,,,0.5201019942760468,424167.0,0.0012261726967822738,815545.8057614585,361626.0,300.0,,1248.0,1979498.0
xgboost,full,,735.3361207023263,,,,main/cic_ids2017/xgboost/seed_46/efficiency.json,main,,,,,,,,,,,,,,,,0.4366213083267212,424167.0,0.0010293618040222866,971475.72028848,362925.0,300.0,,1248.0,1979498.0
lightgbm,full,,431.49596639722586,,,,main/cic_ids2017/lightgbm/seed_42/efficiency.json,main,,,,,,,,,,,,,,,,0.5247473120689392,424167.0,0.0012371243214793683,808326.1986185736,486784.0,300.0,9300.0,1248.0,1979498.0
lightgbm,full,,443.01966665685177,,,,main/cic_ids2017/lightgbm/seed_43/efficiency.json,main,,,,,,,,,,,,,,,,0.5282527729868889,424167.0,0.001245388662924954,802962.1834290451,487523.0,300.0,9300.0,1248.0,1979498.0
lightgbm,full,,439.08213874697685,,,,main/cic_ids2017/lightgbm/seed_44/efficiency.json,main,,,,,,,,,,,,,,,,0.5153455808758736,424167.0,0.001214959157303311,823072.9354059701,487229.0,300.0,9300.0,1248.0,1979498.0
