epoch,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_fpr_macro,train_auc,train_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,val_fpr_macro,val_fpr_attack_positive,val_auc,val_auc_attack_positive,val_loss
1,0.9404288359978136,0.9464784014230512,0.940386581757995,0.9402223767386025,0.9464407267056216,0.9404288359978136,0.9402249323447784,0.05961341824200486,0.9982573308306972,0.005035101996256822,0.8223997208640014,0.845068865421113,0.8114619985813649,0.8149204568391029,0.8393764667365103,0.8223997208640014,0.8179227583947184,0.18853800141863505,0.0529937128321924,0.8621680357866197,0.8621680357866197,0.43568349463050676
2,0.9754175048421367,0.9765382990201393,0.9754008000138557,0.9754024037822253,0.9765224005729173,0.9754175048421367,0.9754028262067201,0.024599199986144304,0.9994987987238064,0.0024366273199265837,0.7970016455821541,0.8365542827894434,0.7823803513920639,0.7841142495801114,0.8287307043152515,0.7970016455821541,0.7883706281236335,0.21761964860793614,0.036427178366208984,0.8797650862453147,0.8797650862453147,0.7799199791353303
3,0.9788693901181007,0.9796731687502397,0.9788876143090495,0.9788611045425193,0.9796906836329459,0.9788693901181007,0.9788607354020505,0.021112385690950586,0.9996376699315248,0.0020859665810602774,0.8493019242466393,0.8643548119527813,0.8407872850200484,0.8446323522403896,0.8597888680630432,0.8493019242466393,0.8468058765571085,0.15921271497995157,0.05369616530757383,0.9267157345204513,0.9267157345204513,0.40199109557053236
4,0.9810977328595432,0.9817500966330939,0.9811077812155973,0.9810916147806056,0.9817597889567546,0.9810977328595432,0.9810914302433859,0.01889221878440265,0.9996959266729003,0.0018984982512097587,0.8406048575321926,0.8611738273955847,0.8306152283076367,0.8345814981512678,0.8556585616693587,0.8406048575321926,0.8371286632722251,0.1693847716923633,0.04558960195814081,0.9117224672176848,0.9117224672176848,0.4892930708213314
5,0.9825435539717645,0.9831202949126477,0.9825304367331539,0.9825379848382036,0.9831076403574289,0.9825435539717645,0.9825382239812194,0.017469563266846115,0.999729655276881,0.0018489822724838062,0.8453082048066087,0.8644438437217113,0.835749809347096,0.8397713802324888,0.859139116672338,0.8453082048066087,0.8421748911397036,0.164250190652904,0.04579902878309926,0.9025211015536918,0.9025211015536918,0.5782194899598657
6,0.9830734863081448,0.983606754274135,0.9830748634293675,0.9830688541153628,0.983608086469273,0.9830734863081448,0.983068830913371,0.01692513657063255,0.9997693520927284,0.0017661816421390341,0.8457608577773796,0.8668423762787896,0.835805214190457,0.8399324871865284,0.8611895896335388,0.8457608577773796,0.8423972256758062,0.16419478580954308,0.04082077863148296,0.920656956302955,0.920656956302955,0.43822128128818055
7,0.9837059698974184,0.9842206489279528,0.9836868206380297,0.9837011427639697,0.9842021490309181,0.9837059698974184,0.9837014777414683,0.016313179361970312,0.9997821197139847,0.0016127364165018578,0.8497168561365126,0.86943740939297,0.8401498243286598,0.8443100902231828,0.8639878356991655,0.8497168561365126,0.8466513234913396,0.15985017567134027,0.04129198898763945,0.8959521633777074,0.8959521633777074,0.4863532554224555
8,0.9872684892836466,0.9875732312552994,0.9872707194171932,0.9872665421844384,0.9875754067475931,0.9872684892836466,0.987266514184646,0.012729280582806686,0.9998586160917796,0.0011967649916899124,0.8246205495018459,0.8579827818940307,0.8118521816383627,0.8153782465797026,0.8506430049926315,0.8246205495018459,0.8187115680879543,0.1881478183616373,0.02991749455708408,0.9251067984129014,0.9251067984129014,0.7721596116240392
9,0.9882965277055091,0.9885556908192352,0.9882958420530712,0.9882949632454477,0.9885550209417399,0.9882965277055091,0.9882949713121416,0.011704157946928868,0.9998780165844737,0.00113335783608376,0.8539038961161433,0.8754854458803756,0.84406366761576,0.8484289968335297,0.8696690549154289,0.8539038961161433,0.8507535623938509,0.15593633238423998,0.033992591526067095,0.9010123571493891,0.9010123571493891,0.6834610630056878
10,0.9892189838029641,0.9894397921558887,0.9892175502502998,0.9892177441649217,0.9894383892674865,0.9892189838029641,0.9892177598173597,0.01078244974970019,0.9998828918267066,0.0011985853761784606,0.8373466991696648,0.8612730329888961,0.8265954129451663,0.8305740044859464,0.8552239389012295,0.8373466991696648,0.8333074878908271,0.1734045870548338,0.04017068286234113,0.9358684591687685,0.9358684591687685,0.5007518349799416
11,0.9893523509495842,0.9895716000824668,0.9893474730000671,0.989351077943637,0.9895668283965892,0.9893523509495842,0.9893511321741727,0.010652526999932929,0.9998822462551141,0.0011146627600076482,0.8586779704172423,0.8790095624870324,0.8492158219344156,0.8536256631197923,0.8733691853321874,0.8586779704172423,0.8558200996227251,0.15078417806558445,0.0335257442287639,0.9177426886936618,0.9177426886936618,0.8581742647576984
12,0.9897312348888455,0.9899428957119619,0.9897182992362479,0.9897299083700728,0.989930253292455,0.9897312348888455,0.9897300579034153,0.010281700763752054,0.9998830898529637,0.001081337966585975,0.8513647958582253,0.8757587190286209,0.8409125815485246,0.8453390775287952,0.8694912276438715,0.8513647958582253,0.8478025084085875,0.1590874184514755,0.02955972373111341,0.9169208319977759,0.9169208319977759,1.3452113804204204
13,0.9895736191701128,0.9897819910519567,0.9895715860378651,0.9895724776774326,0.9897800002701463,0.9895736191701128,0.9895724992826246,0.010428413962134828,0.9998830028636256,0.001053953612241686,0.8348264594521956,0.8641934547220307,0.8230217341410226,0.8269995407748401,0.857318781201739,0.8348264594521956,0.8299689134540227,0.17697826585897727,0.030689755974118334,0.9236000105586073,0.9236000105586073,0.5762952812261437
14,0.9894887491677182,0.9897116299883946,0.9894742323196893,0.9894873020112209,0.9896974524164986,0.9894887491677182,0.989487475109208,0.010525767680310681,0.9998925265470499,0.001080221289226432,0.8357765591773032,0.864864903843988,0.8240471891765744,0.8280597329981507,0.8580216694307469,0.8357765591773032,0.8309991000853978,0.1759528108234256,0.030598131738199016,0.9294600512987585,0.9294600512987585,0.8353688444373516
15,0.9885910468209617,0.9888368831194658,0.9885876806665161,0.9885895531593132,0.9888335941556082,0.9885910468209617,0.988589592598101,0.011412319333483915,0.9998873271960976,0.0011694909141049994,0.8374692926825819,0.8618819652297374,0.8266288094821274,0.8306233136184029,0.8557524725802844,0.8374692926825819,0.8333711462021159,0.17337119051787264,0.0390319245016296,0.9033666070248411,0.9033666070248411,0.6719114922360329
16,0.9916736465507922,0.9918042859291132,0.9916750366454743,0.9916731107982424,0.9918056537102148,0.9916736465507922,0.9916730994609925,0.008324963354525745,0.9999197435424313,0.0009220252396170054,0.8378960124102356,0.8669839874556875,0.8262285981077082,0.830323258032429,0.8601171469159556,0.8378960124102356,0.8332158272703801,0.17377140189229184,0.029184500669729534,0.8967075062462688,0.8967075062462688,0.7000479649644041
